creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,alternate_degree,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
0,1,5,2,10,3,4,8,2,6,5,1,2,0,0,0,0,0,0,0,0,7
0,1,3,2,8,3,4,5,2,6,12,2,2,0,0,0,0,0,0,0,0,7
2,2,5,1,3,7,8,5,1,4,5,0,1,0,0,0,0,0,0,0,0,7
2,2,5,2,5,3,1,5,0,5,5,2,1,0,0,0,0,0,0,0,0,7
2,1,0,2,1,8,7,2,2,5,7,2,0,0,0,0,0,0,1,0,0,7
2,1,5,1,8,3,4,3,1,5,13,1,2,0,0,0,0,0,0,0,0,7
2,1,5,2,1,6,4,8,1,5,8,2,0,0,0,0,0,0,0,0,0,7
0,2,5,2,3,7,4,3,1,5,5,0,1,0,0,0,0,0,1,0,0,7
2,2,5,1,9,7,4,2,1,6,0,1,1,0,0,0,0,0,1,0,0,7
2,1,5,2,6,7,4,5,0,6,8,2,2,0,0,0,0,0,0,0,0,7
2,2,5,1,9,6,4,2,1,6,5,2,1,0,0,0,0,0,1,0,0,7
2,2,5,2,5,10,4,0,1,4,11,0,1,0,0,0,0,0,1,0,0,7
2,2,5,2,3,2,4,1,1,2,11,2,0,0,0,0,0,0,0,0,0,7
2,2,5,1,3,7,4,7,1,5,5,2,0,0,0,0,0,0,0,0,0,7
2,2,5,1,3,10,4,8,1,3,2,0,1,0,0,0,0,0,1,0,0,7
2,1,5,2,9,6,0,8,1,4,5,2,0,0,0,0,0,0,1,0,0,7
2,1,5,1,3,7,4,5,1,5,0,2,1,0,0,0,0,0,1,0,0,7
2,1,5,2,8,1,8,3,1,6,3,1,0,0,0,0,0,0,0,0,0,7
2,2,5,1,8,5,4,8,3,5,8,0,2,0,0,0,0,0,0,0,0,7
0,1,5,2,10,3,8,1,0,6,12,1,2,0,0,0,0,0,0,0,0,7
2,1,5,1,1,8,4,5,0,6,5,2,1,0,0,0,0,0,0,0,0,7
2,2,5,2,9,7,8,2,1,5,5,0,1,0,0,0,0,0,1,0,0,7
2,1,5,2,8,6,4,2,0,6,10,0,1,0,0,0,0,0,1,0,0,7
0,1,3,2,10,3,4,1,3,0,13,2,2,0,0,0,0,0,0,0,0,7
2,2,5,1,7,8,4,1,0,3,0,2,1,0,0,0,0,0,1,0,0,7
2,2,5,1,8,9,4,5,1,4,13,2,1,0,0,0,0,0,1,0,0,7
0,2,3,1,9,5,8,2,1,4,0,0,2,0,0,0,0,0,1,0,0,7
2,1,5,2,9,1,4,2,2,4,2,2,1,0,0,0,0,0,0,0,0,7
0,2,5,2,9,5,8,2,1,4,0,2,2,0,0,0,0,0,1,0,0,7
0,2,5,1,9,5,8,2,1,4,0,2,2,0,0,0,0,0,1,0,0,7
2,1,5,2,8,7,8,0,2,6,5,0,1,0,0,0,0,0,1,0,0,7
2,2,6,1,8,7,4,0,1,4,11,2,1,0,0,0,0,0,0,0,0,7
2,1,5,2,3,2,4,2,1,6,0,2,0,0,0,0,0,0,1,0,0,7
2,1,5,2,9,6,4,1,1,6,9,2,1,0,0,0,0,0,0,0,0,7
2,2,5,1,8,1,4,7,0,3,5,2,0,0,0,0,0,0,0,0,0,7
0,2,5,1,3,4,0,5,1,4,9,2,0,0,0,0,0,0,0,0,0,7
1,2,5,1,8,7,4,0,1,5,11,0,0,0,0,0,0,0,0,0,0,7
2,2,2,1,8,7,4,0,1,4,11,0,0,0,0,0,0,0,0,0,0,7
0,1,5,2,10,3,0,8,2,4,3,2,1,0,0,0,0,0,0,0,0,7
1,2,5,2,8,6,4,8,1,5,1,0,0,0,0,0,0,0,0,0,0,7
2,2,5,2,3,1,4,3,1,2,5,2,1,0,0,0,0,0,0,0,0,7
0,1,5,2,8,7,0,7,1,6,0,2,0,0,0,0,0,0,0,0,0,7
2,2,5,1,8,9,4,5,1,6,12,0,1,0,0,0,0,0,0,0,0,7
0,2,0,2,8,6,8,0,1,3,5,2,2,0,0,0,0,0,0,0,0,7
2,1,5,2,10,7,4,5,0,4,8,2,1,0,0,0,0,0,0,0,0,7
2,1,5,2,1,9,8,1,0,3,5,2,2,0,0,0,0,0,0,0,0,7
2,1,5,1,8,10,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,7
1,2,5,1,1,4,8,5,2,5,8,2,0,0,0,0,0,0,0,0,0,7
1,2,0,0,1,7,4,1,3,5,0,0,1,0,0,0,0,0,0,0,0,7
2,1,5,2,8,5,8,1,1,3,5,2,2,0,0,0,0,0,0,0,0,7
1,2,5,2,8,6,4,8,1,5,1,0,0,0,0,0,0,0,0,0,0,7
2,2,5,2,3,1,4,3,1,2,5,2,1,0,0,0,0,0,0,0,0,7
0,1,5,2,8,7,0,7,1,6,0,2,0,0,0,0,0,0,0,0,0,7
2,2,5,1,8,9,4,5,1,6,12,0,1,0,0,0,0,0,0,0,0,7
0,2,0,2,8,6,8,0,1,3,5,2,2,0,0,0,0,0,0,0,0,7
2,1,5,2,10,7,4,5,0,4,8,2,1,0,0,0,0,0,0,0,0,7
2,1,5,2,1,9,8,1,0,3,5,2,2,0,0,0,0,0,0,0,0,7
2,1,5,1,8,10,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,7
1,2,5,1,1,4,8,5,2,5,8,2,0,0,0,0,0,0,0,0,0,7
1,2,0,0,1,7,4,1,3,5,0,0,1,0,0,0,0,0,0,0,0,7
2,1,5,2,8,5,8,1,1,3,5,2,2,0,0,0,0,0,0,0,0,7
0,2,5,2,6,7,4,0,1,6,0,2,1,0,0,0,0,0,0,0,0,7
2,2,5,1,9,7,4,2,1,6,5,0,0,0,0,0,0,0,1,0,0,7
0,1,5,2,3,5,8,5,1,6,0,2,2,0,0,0,0,0,0,0,0,7
0,2,5,1,9,6,4,2,1,6,5,2,1,0,0,0,0,0,0,0,0,7
2,2,5,1,1,7,4,2,1,5,0,2,1,0,0,0,0,0,1,0,0,7
2,2,5,1,7,1,0,8,1,6,12,2,2,0,0,0,0,0,0,0,0,7
0,2,5,1,8,6,4,7,1,5,5,1,2,0,0,0,0,0,1,0,0,7
2,2,5,2,3,7,4,8,1,6,5,2,1,0,0,0,0,0,0,0,0,7
2,1,3,1,9,0,4,5,2,5,5,2,1,0,0,0,0,0,0,0,0,7
2,2,5,1,10,2,0,3,2,6,2,1,0,0,0,0,0,0,0,0,0,7
0,0,5,2,10,5,0,5,1,5,14,1,2,0,0,0,0,0,0,0,0,7
0,2,0,2,9,1,3,1,1,5,2,2,2,0,0,0,0,0,0,0,0,-1
2,2,0,1,8,1,1,8,0,4,1,0,1,0,0,0,1,0,0,0,0,-1
0,0,3,1,3,4,1,8,2,5,10,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,2,10,8,0,7,2,5,0,1,1,1,0,0,0,0,0,0,0,-1
2,1,0,1,10,7,0,3,2,5,0,1,0,0,0,0,0,0,0,0,0,-1
0,0,6,0,3,6,8,5,2,6,9,2,0,0,0,0,0,0,0,0,0,-1
0,1,0,1,8,3,0,5,2,6,10,1,1,0,0,0,0,0,0,0,0,-1
0,2,0,1,1,7,8,0,1,6,5,1,2,0,0,0,0,0,0,0,0,-1
2,2,0,2,9,6,8,7,2,4,11,2,0,0,0,0,0,0,0,0,0,-1
0,1,0,1,9,1,0,5,2,4,14,1,0,0,0,0,0,0,0,0,0,-1
2,1,0,2,9,2,0,5,2,6,8,2,0,0,0,0,1,0,0,0,0,-1
0,2,0,2,9,1,8,1,2,6,3,1,2,0,0,0,0,0,0,0,0,-1
2,1,5,2,5,2,4,2,1,5,5,2,1,0,0,0,0,0,1,0,0,-1
1,1,0,2,8,3,8,5,3,4,8,1,0,0,0,0,1,0,0,0,0,-1
2,2,0,1,3,8,4,1,0,4,0,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,2,9,3,0,8,1,6,8,2,0,0,0,0,0,0,0,0,0,-1
2,1,0,2,9,6,0,2,3,6,8,2,0,0,0,0,0,0,0,0,0,-1
2,1,0,1,8,3,8,2,3,6,11,0,1,0,0,0,0,0,0,0,0,-1
0,1,0,2,9,1,7,0,1,6,0,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,2,8,5,4,8,0,3,2,2,2,0,0,0,0,0,0,0,0,-1
0,2,2,2,1,4,1,2,3,6,0,2,2,0,0,0,0,0,0,0,0,-1
0,1,0,2,8,1,8,2,2,6,0,1,2,0,0,0,0,0,0,0,0,-1
0,1,0,1,8,5,8,5,2,6,5,1,2,0,0,0,0,0,0,0,0,-1
0,1,0,2,6,3,0,5,2,0,12,1,1,1,0,0,0,0,0,0,0,-1
2,1,0,2,8,7,7,2,2,6,13,2,1,0,0,0,0,0,0,0,0,-1
2,2,6,1,8,6,2,0,1,3,1,2,0,0,0,0,0,0,0,0,0,-1
2,1,0,2,10,7,4,5,1,6,0,1,1,0,0,0,0,0,0,0,0,-1
0,1,0,2,9,6,0,5,2,5,5,2,1,0,0,0,0,0,0,0,0,-1
2,2,5,2,9,7,4,5,1,5,5,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,2,9,1,7,2,2,6,5,2,0,0,0,0,1,0,0,0,0,-1
0,1,0,1,10,1,0,5,2,6,14,1,0,0,0,0,0,0,0,0,0,-1
2,0,3,2,3,0,0,7,2,3,6,2,0,0,0,0,0,0,0,0,0,-1
2,2,0,1,3,8,4,1,0,4,0,2,1,0,0,0,0,0,0,0,0,-1
0,1,0,2,10,7,0,5,2,6,3,1,1,1,0,0,0,0,0,0,0,-1
0,2,0,2,1,5,0,2,2,6,3,2,1,1,0,0,0,0,0,0,0,-1
0,2,0,2,10,1,8,7,2,1,3,1,0,0,0,0,0,0,0,0,0,-1
2,1,0,2,8,1,3,5,2,6,4,2,0,0,0,0,0,0,0,0,0,-1
2,1,5,1,8,3,0,5,2,5,6,1,2,0,0,0,1,0,0,0,0,-1
2,2,0,2,6,5,1,5,2,6,1,2,2,0,0,0,0,0,0,0,0,-1
2,1,0,2,9,4,4,8,3,6,8,2,1,0,0,0,0,0,0,0,0,-1
0,1,0,1,9,1,3,1,2,5,2,2,2,0,0,0,0,0,0,0,0,-1
0,1,5,2,9,4,0,5,2,6,1,2,2,0,0,0,0,0,0,0,0,-1
0,1,5,2,10,3,4,1,2,4,5,1,2,0,0,0,0,0,0,0,0,-1
0,2,5,1,10,9,4,2,1,6,13,1,2,1,0,0,0,0,0,0,0,-1
0,1,0,1,10,1,0,8,3,5,1,1,0,0,0,0,0,0,0,0,0,-1
0,2,0,0,10,6,0,2,1,5,10,1,1,1,0,0,0,0,0,0,0,-1
0,1,0,1,10,8,0,4,2,0,1,1,2,0,0,0,0,0,0,0,0,-1
1,1,0,1,8,1,3,2,2,5,12,2,2,0,0,0,0,0,0,0,0,-1
0,2,0,0,10,8,0,8,1,6,13,1,1,1,0,0,0,0,0,0,0,-1
2,1,0,1,10,9,0,8,2,6,8,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,1,9,3,4,3,2,5,5,2,1,0,0,0,0,0,0,0,0,-1
2,0,0,2,10,9,0,1,1,3,8,2,2,1,0,0,0,0,0,0,0,-1
2,2,0,0,7,3,1,8,2,5,1,2,2,0,0,0,0,0,0,0,0,-1
0,2,0,1,3,7,0,7,1,6,5,2,2,0,0,0,0,0,0,0,0,-1
0,2,0,2,8,7,1,3,2,4,0,1,2,1,0,0,0,0,0,0,0,-1
0,1,0,1,8,1,8,3,2,0,0,1,1,0,0,0,0,0,0,0,0,-1
0,1,0,2,6,5,4,3,0,6,5,2,1,1,0,0,0,0,0,0,0,-1
0,1,0,1,10,7,8,3,2,4,5,1,2,0,0,0,0,0,0,0,0,-1
0,0,0,2,7,3,0,3,2,6,3,1,2,0,0,0,0,0,0,0,0,-1
0,1,0,2,10,4,0,5,2,4,8,2,1,1,0,0,0,0,0,0,0,-1
2,2,0,1,10,8,0,8,3,6,14,1,1,0,0,0,0,0,0,0,0,-1
0,1,0,2,10,1,0,2,0,4,14,1,1,0,0,0,0,0,0,0,0,-1
0,1,0,1,10,3,0,1,0,6,1,1,2,1,0,0,0,0,0,0,0,-1
0,1,0,1,6,3,0,2,2,6,3,0,1,0,0,1,0,0,0,0,0,-1
0,1,0,1,10,9,0,2,2,1,14,1,1,1,0,0,0,0,0,0,0,-1
0,2,5,2,10,1,4,8,2,5,5,1,1,0,0,0,0,0,0,0,0,-1
0,1,0,1,10,3,7,8,3,0,13,1,2,0,0,0,0,0,0,0,0,-1
2,0,0,2,6,3,0,1,2,5,11,2,1,0,0,0,0,0,0,0,0,-1
0,1,3,1,9,0,4,7,2,4,5,2,1,0,0,0,0,0,0,0,0,-1
2,1,0,1,7,9,3,2,2,1,9,2,2,0,0,0,0,0,0,0,0,-1
0,1,0,1,0,7,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,-1
0,2,0,0,10,1,0,5,2,1,3,1,1,1,0,0,0,0,0,0,0,-1
